CustomerID,Region,Sales,Discount,Date,ProductID,Quantity,Return,CustomerType,SalesChannel,PaymentMethod,SatisfactionScore,ProductCategory
1001,East,21708.779878885798,,2024-02-27 03:21:48.108108104,164,16,0,VIP,Online,Credit Card,3,Electronics
1002,West,29380.854196079432,5.0,2024-05-09 22:40:43.243243240,156,22,0,New,In-Store,Bank Transfer,6,Sports
1003,North,24752.11919093025,15.0,2024-05-01 00:05:45.945945944,192,85,0,New,In-Store,Credit Card,2,Health & Beauty
1004,East,17115.481721687986,5.0,2024-08-25 20:59:49.189189184,198,54,0,Returning,Direct,Cash,10,Sports
1005,East,15507.92664325821,,2024-05-31 15:48:28.108108104,139,21,0,New,In-Store,Credit Card,1,Sports
1006,nan,22459.595857532528,15.0,2024-08-11 19:47:44.864864864,113,72,0,New,Online,Credit Card,1,Home & Kitchen
1007,North,13398.833964896789,,2024-08-19 11:43:25.405405400,134,16,1,New,Direct,Cash,5,Books
1008,North,29157.293829271766,5.0,2024-04-06 02:19:49.189189184,147,59,0,Returning,Online,Cash,4,Books
1009,East,25897.200603606434,15.0,2023-01-16 07:51:21.081081081,183,31,0,New,Direct,Credit Card,1,Toys
1010,South,17654.121739476475,5.0,2024-05-29 02:29:54.594594592,155,42,0,VIP,Direct,Cash,4,Sports
1011,East,11434.327354545612,,2024-06-28 02:52:58.378378376,148,74,0,Returning,In-Store,Cash,3,Books
1012,East,26769.361870827066,,2024-02-28 10:01:04.864864864,112,32,0,Returning,Online,Cash,2,Health & Beauty
1013,East,19427.30077373691,5.0,2023-12-08 16:07:12.432432432,160,59,0,VIP,Direct,Cash,9,Clothing
1014,East,,15.0,2024-05-02 06:45:02.702702704,148,34,0,VIP,In-Store,Cash,1,Health & Beauty
1015,West,12027.861706028165,5.0,2023-02-07 16:18:44.324324324,145,9,0,VIP,Direct,Cash,7,Electronics
1016,nan,,,2023-10-25 14:32:04.324324324,161,81,0,New,Direct,Bank Transfer,4,Books
1017,West,20026.218498590915,5.0,2023-10-04 12:43:57.837837836,107,11,0,VIP,Direct,Credit Card,5,Books
1018,West,20234.90296882371,,2024-07-14 17:23:36.216216216,142,96,0,New,Direct,Cash,10,Toys
1019,West,17749.672642603782,5.0,2023-02-11 12:16:34.594594594,119,10,0,Returning,Direct,Credit Card,5,Sports
1020,East,23114.249661737493,15.0,2024-08-03 12:32:25.945945944,196,86,0,Returning,Direct,Bank Transfer,1,Clothing
1021,South,14661.897853087028,15.0,2023-12-27 04:36:45.405405404,189,17,0,VIP,In-Store,Cash,6,Books
1022,North,19288.10257489353,5.0,2024-08-15 00:25:56.756756752,138,68,0,New,Direct,Credit Card,9,Toys
1023,South,20601.478158559494,5.0,2023-03-09 01:22:09.729729729,184,48,0,VIP,Online,Cash,2,Toys
1024,West,22572.194170293744,15.0,2023-03-02 16:05:45.945945946,148,52,1,VIP,In-Store,Cash,7,Clothing
1025,West,23558.07439044445,,2024-09-22 08:04:19.459459456,163,25,0,New,Online,Cash,6,Health & Beauty
1026,South,14376.789540810654,15.0,2024-03-14 17:52:25.945945944,161,21,0,VIP,Direct,Cash,5,Health & Beauty
1027,South,12329.429146321889,,2023-12-18 06:01:48.108108108,153,65,0,Returning,Online,Cash,4,Health & Beauty
1028,South,26388.384109492545,5.0,2023-04-17 15:39:49.189189188,108,63,0,VIP,Direct,Cash,4,Home & Kitchen
1029,West,21661.57005989796,5.0,2023-01-27 04:25:13.513513513,187,89,0,New,Direct,Cash,6,Sports
